index_[thr: 90],img_path,H4W_pve,OSX_pve,l32_pve,H20_pve
3019,/dataset/RenBody/image/20220821/wangxiaofei_m/wangxiaofei_yf3_dz10/image/50/00041.jpg,150.84677721641185,192.02921742326396,43.7346972811351,44.844873772687045
4728,/dataset/RenBody/image/20220928/leimengke_f/leimengke_yf1_dz1/image/54/00031.jpg,121.697285327989,130.32169294642983,25.85845619992141,29.705681825314525
5957,/dataset/RenBody/image/20220901/panjunning_m/panjunning_yf1_dz4/image/48/00171.jpg,139.97968117326198,145.7086573568637,46.9094673072678,48.976152443397446
6835,/dataset/RenBody/image/20220923/AMIR_HOSSAN_m/AMIR_HOSSAN_yf2_dz4/image/51/00176.jpg,198.8504864438221,172.41466134572556,77.16975941950413,78.62928407384511
6892,/dataset/RenBody/image/20220923/AMIR_HOSSAN_m/AMIR_HOSSAN_yf2_dz4/image/54/00071.jpg,166.38526069103065,157.75259563447543,68.95092618067925,66.18316306982845
8362,/dataset/RenBody/image/20220927/wangjinfeng_f/wangjinfeng_yf1_dz1/image/59/00146.jpg,187.498838273966,169.16514332594863,81.6794974562459,76.72550622511851
8640,/dataset/RenBody/image/20220927/wangtianyi_f/wangtianyi_yf1_dz2/image/48/00001.jpg,164.2242033241728,192.74857241663727,36.59924035660328,36.96337761861579
8658,/dataset/RenBody/image/20220927/wangtianyi_f/wangtianyi_yf1_dz2/image/48/00181.jpg,139.97047825922073,161.1231417664038,52.95574886827218,48.76046298013342
8914,/dataset/RenBody/image/20220816/zhangchu_m/zhangchu_yf3_dz12/image/48/00041.jpg,174.1641571120494,162.5784804036321,43.47175703376189,41.81768053317331
8920,/dataset/RenBody/image/20220816/zhangchu_m/zhangchu_yf3_dz12/image/48/00101.jpg,168.4386915582641,142.08729018436475,46.27594109288882,45.74118127482445
8935,/dataset/RenBody/image/20220816/zhangchu_m/zhangchu_yf3_dz12/image/49/00026.jpg,137.53703782194702,139.72007091390896,43.84685312078381,47.31636100676162
9047,/dataset/RenBody/image/20220816/zhangchu_m/zhangchu_yf3_dz12/image/54/00021.jpg,112.81795662441009,115.11507545168536,26.65808677615703,22.354777833301927
9061,/dataset/RenBody/image/20220816/zhangchu_m/zhangchu_yf3_dz12/image/54/00161.jpg,138.25042120894832,123.52423624360044,27.23478576021448,32.20151725270642
10258,/dataset/RenBody/image/20220919/LUQMAN_m/LUQMAN_yf3_dz7/image/59/00206.jpg,172.13754880257002,139.1011152479078,29.65655190895632,32.09690058557603
10259,/dataset/RenBody/image/20220919/LUQMAN_m/LUQMAN_yf3_dz7/image/59/00216.jpg,177.77735813379027,142.89258032804378,32.67778777476241,34.80397249788157
10668,/dataset/RenBody/image/20221021/alaxi_m/alaxi_yf3_dz10/image/54/00031.jpg,181.9198470959052,162.53836215891937,32.97025735727145,36.59516102915752
10766,/dataset/RenBody/image/20221021/alaxi_m/alaxi_yf3_dz10/image/58/00111.jpg,143.00261967702082,127.70563645106016,31.94422469956737,28.045627878304245
10800,/dataset/RenBody/image/20221021/liuziyu_m/liuziyu_yf1_dz1/image/48/00001.jpg,126.35613353752296,176.4933326297203,30.73249049232933,29.22662446585634
10802,/dataset/RenBody/image/20221021/liuziyu_m/liuziyu_yf1_dz1/image/48/00021.jpg,128.81107639631898,193.52911585104465,29.910006391415035,29.07197032571581
10820,/dataset/RenBody/image/20221021/liuziyu_m/liuziyu_yf1_dz1/image/48/00201.jpg,129.40990276903943,159.44434389314523,32.58584849255537,28.12461110772645
10822,/dataset/RenBody/image/20221021/liuziyu_m/liuziyu_yf1_dz1/image/48/00221.jpg,133.7956911028864,167.39475629554502,28.104167295328136,32.2830992522569
11836,/dataset/RenBody/image/20220913/xuzisong_m/xuzisong_yf1_dz6/image/58/00011.jpg,158.14806358450463,149.29593462023644,59.79745903355074,57.437644203434736
12294,/dataset/RenBody/image/20220820/guyu_f/guyu_yf1_dz6/image/54/00091.jpg,186.4897734734428,183.1070233478044,78.13906183519337,81.82228172339201
12960,/dataset/RenBody/image/20221219/NADEZHDA_f/NADEZHDA_yf1_dz3/image/48/00001.jpg,174.13003824648212,190.63910033710368,41.87096984046739,46.30475244973773
12962,/dataset/RenBody/image/20221219/NADEZHDA_f/NADEZHDA_yf1_dz3/image/48/00021.jpg,172.87519407731244,190.14672129296815,45.19721879672887,47.18465147097678
13772,/dataset/RenBody/image/20221219/ABBASI_SAQIB_SHEHZAD_m/ABBASI_SAQIB_SHEHZAD_yf1_dz3/image/48/00021.jpg,170.77919998408998,169.59886328026158,69.12171510446231,72.46882749988936
15525,/dataset/RenBody/image/20220815/gengzihao_m/gengzihao_yf3_dz12/image/54/00001.jpg,145.06869850442274,127.16165632503764,34.39363268059868,36.40190261549574
15528,/dataset/RenBody/image/20220815/gengzihao_m/gengzihao_yf3_dz12/image/54/00031.jpg,162.88016728347733,145.90716661054418,39.49961649298248,44.16738845247238
15537,/dataset/RenBody/image/20220815/gengzihao_m/gengzihao_yf3_dz12/image/54/00121.jpg,138.23727095544072,127.66720428194358,34.41848142451712,35.69487780409213
16609,/dataset/RenBody/image/20220815/liuhan_f/liuhan_yf1_dz2/image/54/00041.jpg,156.39355421335074,135.40340220135286,40.06970967822743,43.61920156253935
16926,/dataset/RenBody/image/20220903/lixiang_m/lixiang_yf1_dz5/image/56/00061.jpg,148.11856558500503,159.63345206215843,52.38172663570214,49.60653723783386
17017,/dataset/RenBody/image/20220903/BENGAMIM_m/BENGAMIM_yf1_dz1/image/48/00071.jpg,189.7178167703592,176.88067563752443,57.60777759013564,59.306444013902095
17272,/dataset/RenBody/image/20220903/BENGAMIM_m/BENGAMIM_yf1_dz1/image/59/00146.jpg,171.16737449040724,156.38291117583765,50.533002643758735,52.61523762515791
17706,/dataset/RenBody/image/20220903/SHAITAROVASOFIA_f/SHAITAROVASOFIA_yf3_dz9/image/54/00211.jpg,157.76434313721526,161.16757088633673,26.612618883988564,31.129624055465403
17707,/dataset/RenBody/image/20220903/SHAITAROVASOFIA_f/SHAITAROVASOFIA_yf3_dz9/image/54/00221.jpg,142.6955643749545,147.23686794750375,37.512348290655694,33.76254205426753
18766,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/54/00011.jpg,152.54995845161108,139.9329730228082,34.84488321112469,37.61866241275912
18767,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/54/00021.jpg,152.4300809577366,142.22680649189218,37.24023930260698,40.89695491159805
18786,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/54/00211.jpg,158.62372369608633,150.6707792367402,41.06257834762047,45.87957583801409
18878,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/59/00006.jpg,131.68915628017865,133.0011409872513,29.775335366839855,33.65952489884084
18879,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/59/00016.jpg,132.84767543875734,131.58812683603682,32.100062849007195,35.66868018949033
18880,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/59/00026.jpg,146.4025279842421,144.9476160595694,35.75148239404635,32.74316816128757
18888,/dataset/RenBody/image/20221017/humengfei_m/humengfei_yf3_dz10/image/59/00106.jpg,143.73630567514334,125.50729790385331,31.249419818453337,34.74369215076689
18992,/dataset/RenBody/image/20220426/abu_m/abu_yf3_dz11/image/54/00021.jpg,163.0941747142467,155.18609830610913,38.4785159983695,39.76806653158262
18997,/dataset/RenBody/image/20220426/abu_m/abu_yf3_dz11/image/54/00071.jpg,161.0792815409875,161.78128306097778,40.756537330351264,39.77460590472438
20072,/dataset/RenBody/image/20220419/yuxinrui_f/yuxinrui_yf2_dz9/image/48/00021.jpg,176.25289848731657,149.28803387515617,48.4154076576708,50.86641407697503
