63,train_exp63_20230520_015151,19,dummy
64,train_exp64_20230523_023007,49,dummy
66,train_exp66_20230520_020742,19,dummy
67,train_exp67_20230520_020743,19,dummy
68,train_exp68_20230520_030353,19,dummy
69,train_exp69_20230520_031204,10,dummy
70,train_exp70_20230522_021206,19,dummy
71,train_exp71_20230525_233542,19,dummy
72,train_exp72_20230526_000415,19,dummy
73,train_exp73_20230526_225412,3,dummy
74,train_exp74_20230522_235920,3,dummy
75,train_exp75_20230523_020643,3,dummy
76,train_exp76_20230522_114855,10,dummy
83,train_exp83_20230526_234701,4,dummy
84,train_exp84_20230526_223338,1,dummy
85,train_exp85_20230525_234519,4,dummy
